Date,Sport,Event,Bet Type,Line,Side,Odds,Odds Decimal,Stake,Win Probability,DTM,Result,Has Results,Predicted Value,Stat Value
2026-08-05,WNBA,Rhyne Howard,Total Assists,3.5,over,-102,1.98,5,51.76,2.56,,FALSE,3.79,
2026-08-05,WNBA,Jordin Canada,Total Assists,8.5,under,-118,1.85,5,54.86,1.59,,FALSE,7.92,
2026-08-05,WNBA,Kelsey Plum,Total Assists,4.5,over,-144,1.69,5,59.63,1.5,,FALSE,5.96,
2026-08-05,WNBA,Alyssa Thomas,Total Assists,8.5,over,102,2.02,5,53.21,7.33,,FALSE,9.87,
2026-08-05,WNBA,Jordin Canada,Total Points Plus Rebounds,13.5,over,-132,1.76,5,59.43,5.88,,FALSE,16.57,
2026-08-05,WNBA,Brionna Jones,Total Points Plus Rebounds,16.5,over,-130,1.77,5,57.94,3.27,,FALSE,18.07,
2026-08-05,WNBA,Angel Reese,Total Points Plus Rebounds,27.5,over,-122,1.82,5,46.85,-18,,FALSE,27.76,
2026-08-05,WNBA,Allisha Gray,Total Points Plus Rebounds,21.5,under,-104,1.96,5,52.81,3.73,,FALSE,20.79,
2026-08-05,WNBA,Rhyne Howard,Total Points Plus Rebounds,20.5,under,-112,1.89,5,54.28,3.08,,FALSE,18.21,
2026-08-05,WNBA,Jade Melbourne,Total Points,7.5,over,-108,1.93,5,52.01,0.18,,FALSE,7.58,
2026-08-05,WNBA,Natisha Hiedeman,Total Points,16.5,under,-114,1.88,5,55.17,4.07,,FALSE,15.93,
2026-08-05,WNBA,Ezi Magbegor,Total Points,6.5,under,-113,1.88,5,53.65,1.28,,FALSE,4.36,
2026-08-05,WNBA,Dominique Malonga,Total Points,15.5,under,-128,1.78,5,57.78,3.73,,FALSE,14.04,
2026-08-05,WNBA,Sabrina Ionescu,Total Three-Pointers Made,2.5,over,-144,1.69,5,48.21,-26.36,,FALSE,2.7,
2026-08-05,WNBA,Jonquel Jones,Total Three-Pointers Made,1.5,over,-166,1.6,5,57.62,-12.74,,FALSE,2.1,
2026-08-05,WNBA,Breanna Stewart,Total Three-Pointers Made,0.5,over,-206,1.49,5,66.66,-2.03,,FALSE,0.99,
2026-08-05,WNBA,Rebecca Allen,Total Three-Pointers Made,1.5,under,-215,1.47,5,58.4,-31.04,,FALSE,1.23,
2026-08-05,WNBA,Awa Fam,Total Three-Pointers Made,1.5,over,148,2.48,5,42.41,3.49,,FALSE,1.55,
2026-08-05,WNBA,Natisha Hiedeman,Total Three-Pointers Made,2.5,under,-162,1.62,5,61.7,-0.34,,FALSE,2.27,
2026-08-05,WNBA,Flau'jae Johnson,Total Three-Pointers Made,1.5,under,-144,1.69,5,56.59,-5.91,,FALSE,1.47,
2026-08-05,WNBA,Rebecca Allen,Total Rebounds,2.5,over,-157,1.64,5,61.62,1.36,,FALSE,3.16,
2026-08-05,WNBA,Breanna Stewart,Total Rebounds,8.5,over,-118,1.85,5,48.28,-12.75,,FALSE,9.07,
2026-08-05,WNBA,Sabrina Ionescu,Total Rebounds,4.5,under,-180,1.56,5,64.4,0.32,,FALSE,3.98,
2026-08-05,WNBA,Jonquel Jones,Total Rebounds,8.5,under,-110,1.91,5,49.06,-6.98,,FALSE,8.38,
2026-08-05,WNBA,Awa Fam,Total Rebounds,5.5,over,-132,1.76,5,56.87,-0.06,,FALSE,6.29,
2026-08-05,WNBA,Natisha Hiedeman,Total Rebounds,2.5,over,-122,1.82,5,56.68,3.84,,FALSE,3.14,
